impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K19-117152,A584811,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584811,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,5 DAYS,Male,Domestic Shorthair,Org Tabby,5/13/19 0:00,Received on,3400 S 262ND ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584811,Image Copyright HLP Inc. 2019,"Received on: 2019-05-13<p/> Found Near: 3400 S 262ND ST, KENT WA 98032<p/> Description: Org Tabby Male Domestic Shorthair Cat<p/> Age: 5 DAYS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117157,A584817,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Dog,4 WEEKS,Male,Chihuahua - Smooth Coated,Brown / Black,5/13/19 0:00,Received on,5900 S 147TH ST,TUKWILA,WA,98168,TUKWILA,47.471778,-122.2592,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584817,Image Copyright HLP Inc. 2019,"Received on: 2019-05-13<p/> Found Near: 5900 S 147TH ST, TUKWILA WA 98168<p/> Description: Brown / Black Male Chihuahua - Smooth Coated Dog<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-117153,A584812,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584812,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Spencer,Dog,4 YEARS,Neutered Male,Chihuahua - Smooth Coated,Red / White,5/13/19 0:00,Received on,5900 S 147TH ST,TUKWILA,WA,98168,TUKWILA,47.471778,-122.2592,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584812,Image Copyright HLP Inc. 2019,"Received on: 2019-05-13<p/> Found Near: 5900 S 147TH ST, TUKWILA WA 98168<p/> Description: Red / White Neutered Male Chihuahua - Smooth Coated Dog<p/> Age: 4 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K19-117156,A584816,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Dog,4 WEEKS,Male,Chihuahua - Smooth Coated,Tan / White,5/13/19 0:00,Received on,5900 S 147TH ST,TUKWILA,WA,98168,TUKWILA,47.471778,-122.2592,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584816,Image Copyright HLP Inc. 2019,"Received on: 2019-05-13<p/> Found Near: 5900 S 147TH ST, TUKWILA WA 98168<p/> Description: Tan / White Male Chihuahua - Smooth Coated Dog<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-117154,A584813,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584813,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mona,Dog,6 YEARS,Spayed Female,Chihuahua - Smooth Coated,Tricolor,5/13/19 0:00,Received on,5900 S 147TH ST,TUKWILA,WA,98168,TUKWILA,47.471778,-122.2592,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584813,Image Copyright HLP Inc. 2019,"Received on: 2019-05-13<p/> Found Near: 5900 S 147TH ST, TUKWILA WA 98168<p/> Description: Tricolor Spayed Female Chihuahua - Smooth Coated Dog<p/> Age: 6 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K19-117155,A584815,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Dog,4 WEEKS,Female,Chihuahua - Smooth Coated,White / Cream,5/13/19 0:00,Received on,5900 S 147TH ST,TUKWILA,WA,98168,TUKWILA,47.471778,-122.2592,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584815,Image Copyright HLP Inc. 2019,"Received on: 2019-05-13<p/> Found Near: 5900 S 147TH ST, TUKWILA WA 98168<p/> Description: White / Cream Female Chihuahua - Smooth Coated Dog<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-117175,A584869,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584869,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Sundae,Cat,9 WEEKS,Spayed Female,Domestic Shorthair,White / Black,5/13/19 0:00,Received on,9600 S 252ND ST,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584869,Image Copyright HLP Inc. 2019,"Received on: 2019-05-13<p/> Found Near: 9600 S 252ND ST, KENT WA 98030<p/> Description: White / Black Spayed Female Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K19-117187,A584934,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584934,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Male,Domestic Shorthair,Black,5/14/19 0:00,Received on,10600 14TH AVE SW,SEATTLE,WA,98146,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584934,Image Copyright HLP Inc. 2019,"Received on: 2019-05-14<p/> Found Near: 10600 14TH AVE SW, SEATTLE WA 98146<p/> Description: Black Male Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117197,A584942,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584942,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Charlotte,Dog,13 WEEKS,Female,Labrador Retriever,Yellow,5/14/19 0:00,Received on,11500 FAY RD NE,CARNATION,WA,98014,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584942,Image Copyright HLP Inc. 2019,"Received on: 2019-05-14<p/> Found Near: 11500 FAY RD NE, CARNATION WA 98014<p/> Description: Yellow Female Labrador Retriever Dog<p/> Age: 13 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117181,A584926,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584926,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,NO AGE,Female,Boxer,Tan / White,5/14/19 0:00,Received on,1300 MERRITT AVE,ENUMCLAW,WA,98022,ENUMCLAW,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584926,Image Copyright HLP Inc. 2019,"Received on: 2019-05-14<p/> Found Near: 1300 MERRITT AVE, ENUMCLAW WA 98022<p/> Description: Tan / White Female Boxer Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117180,A584925,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584925,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,NO AGE,Female,Boxer,Tan / White,5/14/19 0:00,Received on,1300 MERRITT AVE,ENUMCLAW,WA,98022,ENUMCLAW,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584925,Image Copyright HLP Inc. 2019,"Received on: 2019-05-14<p/> Found Near: 1300 MERRITT AVE, ENUMCLAW WA 98022<p/> Description: Tan / White Female Boxer Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117184,A418185,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Micky,Dead Cat,5 YEARS 11 MONTHS,Spayed Female,Domestic Shorthair,Black,5/14/19 0:00,Received on,13400 SE 272ND ST,KENT,WA,98042,KENT,47.358022,-122.160686,,Image Copyright HLP Inc. 2019,"Received on: 2019-05-14<p/> Found Near: 13400 SE 272ND ST, KENT WA 98042<p/> Description: Black Spayed Female Domestic Shorthair Cat<p/> Age: 5 YEARS 11 MONTHS<p/>",
K19-117195,A584949,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584949,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,NO AGE,Male,Chihuahua - Smooth Coated,Brown / White,5/14/19 0:00,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584949,Image Copyright HLP Inc. 2019,"Received on: 2019-05-14<p/> Found Near: 21600 64TH AVE S, KENT WA 98032<p/> Description: Brown / White Male Chihuahua - Smooth Coated Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117194,A584948,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584948,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",B'elana,Cat,NO AGE,Female,Domestic Shorthair,Brn Tabby / Tortie,5/14/19 0:00,Received on,4700 S 172ND PL,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584948,Image Copyright HLP Inc. 2019,"Received on: 2019-05-14<p/> Found Near: 4700 S 172ND PL, SEATAC WA 98188<p/> Description: Brn Tabby / Tortie Female Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117202,A584979,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Dante,Dead Dog,11 YEARS,Neutered Male,Pit Bull,White / Black,5/14/19 0:00,Received on,8300 167TH AVE NE,REDMOND,WA,98052,REDMOND,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-05-14<p/> Found Near: 8300 167TH AVE NE, REDMOND WA 98052<p/> Description: White / Black Neutered Male Pit Bull Dog<p/> Age: 11 YEARS<p/>",
K19-117241,A585011,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A585011,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Figgy,Cat,4 YEARS,Neutered Male,Domestic Longhair,Black / White,5/15/19 0:00,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585011,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Description: Black / White<p/>  Neutered Male Domestic Longhair Cat<p/> Age: 4 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Figgy and I am available for adoption.<p/><p/>I was brought in by my previous owner on 5/15/19 because they were moving into an assisted living facility. I lived in a home with another cat. My previous owner described me as friendly.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/>",RED
K19-117226,A500401,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A500401,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tuxedo Sam,Cat,6 YEARS 4 MONTHS,Neutered Male,Domestic Shorthair,Black / White,5/15/19 0:00,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A500401,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Description: Black / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 6 YEARS 4 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Tuxedo Sam (AKA ""Tuxie"") and I am available for adoption.<p/><p/>I was brought in by my previous owner on 5/15/19 because I have Feline Lower Urinary Tract Disease that was often triggered by their absence I lived in a home with other cats. My previous owner described me as very vocal and loved being pet while sitting in their lap.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",BLUE
K19-117222,A584988,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A584988,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Sasha,Cat,9 WEEKS,Spayed Female,Domestic Shorthair,Black / White,5/15/19 0:00,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584988,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Description: Black / White<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Sasha and I am available for adoption.<p/><p/>I was brought in by a good samaritan on 5/15/19.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/>",
K19-117242,A585012,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A585012,"Reber Ranch Sales Partner 28606 132ND AVE SE KENT, WA 98042",Lysander,Cat,4 YEARS,Neutered Male,Domestic Shorthair,Org Tabby / White,5/15/19 0:00,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585012,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Description: Org Tabby / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 4 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: Reber Ranch Sales Partner 28606 132ND AVE SE KENT, WA 98042<p/>Hi! My name is Lysander and I am available for adoption.<p/><p/>I was brought in by my previous owner on 5/15/19 because they were moving into an assisted living facility. I lived in a home with another cat.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>",GREEN
K19-117234,A585002,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A585002,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,9 WEEKS,Male,Domestic Shorthair,Brn Tabby,5/15/19 0:00,Received on,10600 SE 238TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585002,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Found Near: 10600 SE 238TH ST, KENT WA 98031<p/> Description: Brn Tabby Male Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117235,A585003,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A585003,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,9 WEEKS,Female,Domestic Shorthair,Brn Tabby / White,5/15/19 0:00,Received on,10600 SE 238TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585003,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Found Near: 10600 SE 238TH ST, KENT WA 98031<p/> Description: Brn Tabby / White Female Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117231,A584999,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584999,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,9 WEEKS,Male,Domestic Shorthair,Brn Tabby / White,5/15/19 0:00,Received on,10600 SE 238TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584999,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Found Near: 10600 SE 238TH ST, KENT WA 98031<p/> Description: Brn Tabby / White Male Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117236,A585005,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A585005,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,9 WEEKS,Male,Domestic Shorthair,Brn Tabby / White,5/15/19 0:00,Received on,10600 SE 238TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585005,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Found Near: 10600 SE 238TH ST, KENT WA 98031<p/> Description: Brn Tabby / White Male Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117238,A585006,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A585006,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,9 WEEKS,Male,Domestic Longhair,Gray / White,5/15/19 0:00,Received on,10600 SE 238TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585006,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Found Near: 10600 SE 238TH ST, KENT WA 98031<p/> Description: Gray / White Male Domestic Longhair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117225,A584994,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584994,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Romulus,Cat,2 YEARS,Unaltered,Siamese,Lynx Pt,5/15/19 0:00,Received on,24400 109TH PL SE,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584994,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Found Near: 24400 109TH PL SE, KENT WA 98030<p/> Description: Lynx Pt Unaltered Siamese Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117239,A585007,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A585007,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,3 YEARS,Male,Domestic Mediumhair,Gray Tabby / White,5/15/19 0:00,Received on,26800 MAPLE VALLEY BLACK DIAMOND RD SE,MAPLE VALLEY,WA,98038,MAPLE VALLEY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585007,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Found Near: 26800 MAPLE VALLEY BLACK DIAMOND RD SE, MAPLE VALLEY WA 98038<p/> Description: Gray Tabby / White Male Domestic Mediumhair Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117229,A584997,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,4 WEEKS,Female,Domestic Shorthair,Black,5/15/19 0:00,Received on,34800 53RD AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584997,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Found Near: 34800 53RD AVE S, AUBURN WA 98001<p/> Description: Black Female Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-117228,A584996,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,4 WEEKS,Male,Domestic Shorthair,Black,5/15/19 0:00,Received on,34800 53RD AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584996,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Found Near: 34800 53RD AVE S, AUBURN WA 98001<p/> Description: Black Male Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-117230,A584998,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,4 WEEKS,Female,Domestic Shorthair,Black / White,5/15/19 0:00,Received on,34800 53RD AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584998,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Found Near: 34800 53RD AVE S, AUBURN WA 98001<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-117233,A585001,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,4 WEEKS,Male,Domestic Shorthair,Black / White,5/15/19 0:00,Received on,34800 53RD AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585001,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Found Near: 34800 53RD AVE S, AUBURN WA 98001<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-117232,A585000,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,4 WEEKS,Male,Domestic Shorthair,Black / White,5/15/19 0:00,Received on,34800 53RD AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585000,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Found Near: 34800 53RD AVE S, AUBURN WA 98001<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-117237,A585004,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A585004,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,1 YEAR,Female,Domestic Shorthair,Gray,5/15/19 0:00,Received on,34800 53RD AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585004,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Found Near: 34800 53RD AVE S, AUBURN WA 98001<p/> Description: Gray Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-117246,A585016,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,3 WEEKS,Female,Domestic Shorthair,Brn Tabby,5/15/19 0:00,Received on,38000 46TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585016,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Found Near: 38000 46TH AVE S, AUBURN WA 98001<p/> Description: Brn Tabby Female Domestic Shorthair Cat<p/> Age: 3 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-117245,A585015,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,3 WEEKS,Male,Domestic Shorthair,Brn Tabby,5/15/19 0:00,Received on,38000 46TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585015,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Found Near: 38000 46TH AVE S, AUBURN WA 98001<p/> Description: Brn Tabby Male Domestic Shorthair Cat<p/> Age: 3 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-117244,A585014,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,3 WEEKS,Male,Domestic Shorthair,Brn Tabby / White,5/15/19 0:00,Received on,38000 46TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585014,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Found Near: 38000 46TH AVE S, AUBURN WA 98001<p/> Description: Brn Tabby / White Male Domestic Shorthair Cat<p/> Age: 3 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-117243,A585013,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,3 WEEKS,Male,Domestic Shorthair,Org Tabby,5/15/19 0:00,Received on,38000 46TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585013,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Found Near: 38000 46TH AVE S, AUBURN WA 98001<p/> Description: Org Tabby Male Domestic Shorthair Cat<p/> Age: 3 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-117220,A584986,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584986,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Rabbit Sh,NO AGE,Unaltered,Rabbit Sh,Black / White,5/15/19 0:00,Received on,SE PETROVITSKY RD,MAPLE VALLEY,WA,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584986,Image Copyright HLP Inc. 2019,"Received on: 2019-05-15<p/> Found Near: SE PETROVITSKY RD, MAPLE VALLEY WA 98038<p/> Description: Black / White Unaltered Rabbit Sh Rabbit Sh<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
